Ref,Val,Package,PosX,PosY,Rot,Side
"J14","Conn_02x19_Odd_Even","Connector_PinSocket_2.54mm_NUCLEO",138.420000,-100.000000,180.000000,bottom
"J15","Conn_02x19_Odd_Even","Connector_PinSocket_2.54mm_NUCLEO",80.000000,-100.000000,180.000000,bottom
